n_elements,table_size,factor_carga,insert_time_avg,insert_time_std,search_time_avg,search_time_std,delete_time_avg,delete_time_std,memory_usage_avg,memory_usage_std
20000,1000,20.0,0.013698929201200371,0.0011742881778184922,0.0008183082980394829,1.88903410666409e-05,0.0008624251990113407,2.4080459582064164e-05,0.240625,0.3195557626090737
20000,2000,10.0,0.010294271000020672,0.0004556049413936641,0.0005672751984093338,9.150082098046962e-06,0.0006075915996916592,9.776804646759796e-06,0.6203125,0.14676968742159716
20000,5000,4.0,0.008317612500104588,0.000953749704010832,0.00042025829970953054,1.2035807794650595e-05,0.0004643999993277248,1.1132421055905975e-05,0.66875,0.33477876712340443
55000,1000,55.0,0.07193280840001534,0.0012128156723603537,0.0017780083013349212,2.2004693988207655e-05,0.0018437124002957717,3.088619557382724e-05,7.7125,0.3446327050482715
55000,2000,27.5,0.04775706259897561,0.00406192542474742,0.0010822207994351629,5.0677146161522504e-05,0.0011326291998557281,6.626211589833715e-05,6.815625,0.7823187134694174
55000,5000,11.0,0.031013379202340728,0.0009996747324048402,0.0006331123993732035,2.3041957024703045e-05,0.0006615624974074308,1.854263523634102e-05,6.1484375,0.8385659287380318
100000,1000,100.0,0.2296470125002088,0.019107984201201487,0.0037541290985245723,0.00025661117878635943,0.003892983101104619,0.00022916426304914872,13.721875,0.979271935830674
100000,2000,50.0,0.13698294589994475,0.009888754426301355,0.002202837500226451,0.00017283238326748664,0.002231229100289056,0.00014922956115246867,12.64375,0.23933410950431244
100000,5000,20.0,0.08008428749963059,0.00635394018259931,0.0011166500000399538,7.004030428161064e-05,0.001140737600508146,0.000168667732722883,12.11875,0.49158500381136755
200000,1000,200.0,1.2820647458000167,0.05194186581366548,0.014183683499868493,0.001469388399704411,0.014229645700834227,0.0011187348633342553,25.821875,1.5965423522847393
200000,2000,100.0,0.8386651458000415,0.13342891926965306,0.00776407920056954,0.0006608616420268477,0.007766341701062629,0.00099109405328224,25.940625,0.9109016156930573
200000,5000,40.0,0.3645160667991149,0.055616957434451664,0.0034439498980646023,0.0008729711558748421,0.0028585083986399696,0.0009309578425395188,26.490625,1.00571284834854
500000,1000,500.0,13.990928183100186,0.521520925066308,0.0500830835015222,0.0037954990812024978,0.05001914590029628,0.003714498244588315,72.9921875,2.2022721704352555
500000,2000,250.0,6.766139066700998,0.12637439362730363,0.024267650001274888,0.00030720129476071296,0.024545029000728392,0.0004995372270585117,72.2453125,1.7644807932131354
500000,5000,100.0,3.2003939458016246,0.30219824646376614,0.010543150098965271,0.0009004116218890655,0.010534020599880022,0.0009343862040038987,75.2078125,2.0678073811289552
1000000,1000,1000.0,63.2365562332001,1.419296968113197,0.10359955000021728,0.001885620981969484,0.10559445850085467,0.0025442541497876134,159.303125,4.229302645597209
1000000,2000,500.0,31.658059941800456,0.27448364119915303,0.05222499999945285,0.0006024540346138204,0.052226579401030905,0.000575060907522174,155.4765625,3.1942437002896753
1000000,5000,200.0,13.572191987300176,0.5807826083681192,0.021662603998265695,0.0008392181861215798,0.021844345799763687,0.0010436109341869463,152.1890625,2.7943419434101813
