n_elements,table_size,factor_carga,insert_time_avg,insert_time_std,search_time_avg,search_time_std,delete_time_avg,delete_time_std,memory_usage_avg,memory_usage_std
1000,1000,1.0,0.00030910820059943945,5.560864486994439e-05,0.00033794979899539614,6.976226853786774e-05,0.000367154100240441,7.652387113589325e-05,0.1,0.2582409108866284
1000,2000,0.5,0.00028610399895114826,9.856101824951691e-06,0.0003130915996734984,1.5162788011078299e-05,0.00034616250050021333,3.4624206144792845e-05,0.3515625,0.9491535542882699
1000,5000,0.2,0.00027810419924207964,1.3694900030738771e-05,0.0002997042007336859,1.4221762938279435e-05,0.00032297510260832497,2.350093305241018e-05,0.0078125,0.024705294220065465
5000,1000,5.0,0.0020321665986557493,5.247428956080101e-05,0.0004437165007402655,9.498188594460935e-06,0.0004831332014873624,9.117559006361321e-06,0.009375,0.024650332429581732
5000,2000,2.5,0.0018925541000498925,7.788283841965671e-05,0.0003912457003025338,1.1646618461187126e-05,0.0004317206985433586,1.5773789442163397e-05,0.0,0.0
5000,5000,1.0,0.0020981960013159552,0.0010130625985167562,0.0003479083010461181,1.017528034608472e-05,0.0003820290992734954,9.96958904249609e-06,0.0953125,0.24743146673203606
10000,1000,10.0,0.0056349748992943205,0.0020900764775292915,0.0006076917983591556,5.431898951557524e-05,0.0006399041005352047,4.778575186656474e-05,0.0234375,0.040511326005479284
10000,2000,5.0,0.004164720798871713,0.0002072335441028177,0.0004565498027659487,1.5884695892453825e-05,0.0004934333010169212,1.5232715586167406e-05,0.021875,0.0691748238161833
10000,5000,2.0,0.003705679201084422,0.00020020116107950648,0.0003769706992898136,9.691371982333598e-06,0.00041539159865351395,9.44715281738819e-06,0.0078125,0.024705294220065465
